Bird Wyvern
Velocidrome,70,15,160,15 s,100,25,250,120,80,15,170,10 s
Giadrome,70,15,160,15 s,100,25,250,120,80,15,170,10 s
Gendrome,70,15,160,30 s,100,50,400,120,200,50,500,5 s
Iodrome,75,15,165,30 s,200,75,650,60,80,15,170,10 s
Yian Kut-Ku,110,25,260,30 s,100,50,400,240,100,65,490,10 s
Blue Yian Kut-Ku,110,25,260,30 s,100,50,400,240,100,75,550,15 s
Yian Garuga,150,50,450,20 s,-,-,-,-,200,100,800,15 s
Gypceros,150,25,300,40 s,200,50,500,240,150,50,450,10 s
Purple Gypceros,100,25,250,50 s,300,75,750,240,150,50,450,10 s
Hypnoc,110,25,260,40 s,100,50,400,240,100,65,490,10 s
Primatius
Bulldrome,30,0,30,30 s,30,0,30,80,150,0,150,20 s
Congalala,200,100,800,40 s,200,75,650,240,200,125,950,10 s
Blangonga,150,50,450,40 s,200,75,650,240,200,75,650,10 s
Green Congalala,200,150,1100,45 s,200,125,950,240,200,150,1100,10 s
Brown Blangonga,150,50,450,45 s,200,75,650,240,150,100,750,10 s
Rajang,150,100,750,30 s,200,75,650,240,200,75,650,10 s
Carapaceon
Daimyo Hermitaur,150,50,450,30 s,200,75,650,240,110,100,710,10 s
Shogun Ceanataur,150,50,450,30 s,200,75,650,240,125,90,665,10 s
Red Shogun Ceanataur,150,50,450,35 s,200,50,500,240,125,110,785,10 s
Purple Daimyo Hermitaur,150,70,570,35 s,200,75,650,240,110,120,830,10 s
Shen Gaoren,-,-,-,-,-,-,-,-,-,-,-,-
Piscine
Cephadrome,110,25,260,40 s,100,50,400,120,150,50,450,15 s
Plesioth,100,50,400,30 s,100,75,550,120,100,75,550,10 s
Green Plesioth,200,50,500,40 s,100,100,700,360,100,100,700,10 s
Volganos,200,50,500,35 s,100,75,550,120,100,75,550,10 s
Wyvern
Khezu,200,25,350,40 s,110,75,560,60,200,75,650,5 s
Red Khezu,200,25,350,40 s,110,75,560,120,350,75,800,5 s
Rathalos,150,50,450,30 s,110,75,560,240,100,75,550,10 s
Azure Rathalos,200,50,500,40 s,215,75,665,360,125,75,575,10 s
Silver Rathalos,200,50,500,40 s,400,100,1000,420,200,75,650,10 s
Rathian,150,50,450,30 s,200,75,650,240,110,75,560,10 s
Pink Rathian,150,75,600,30 s,200,75,650,360,125,75,575,10 s
Gold Rathian,200,50,500,40 s,350,100,950,360,200,75,650,10 s
Monoblos,150,50,450,40 s,100,75,550,240,150,75,600,15 s
White Monoblos,150,50,450,40 s,100,100,700,360,200,75,650,15 s
Diablos,150,25,300,40 s,200,50,500,240,200,75,650,15 s
Black Diablos,150,25,300,50 s,250,50,550,360,250,125,1000,15 s
Basarios,100,50,400,60 s,200,75,650,240,200,50,500,15 s
Gravios,200,50,500,60 s,150,75,600,240,200,75,650,15 s
Black Gravios,200,50,500,60 s,200,75,650,480,200,100,800,15 s
Tigrex,150,75,600,180 s,150,75,600,240,150,75,600,10 s
Akantor,350,50,650,40 s,400,75,850,240,350,100,950,10 s
Naruga,150,100,750,190 s,150,75,600,240,150,75,600,10 s
Ucamulbas,350,50,650,35 s,400,75,850,240,350,100,950,10 s
Elder Dragon
Kushala Daora,200,50,500,30 s,150,50,450,288,200,125,950,20 s
Rusted Kushala Daora,200,50,500,30 s,150,50,450,288,200,125,950,20 s
Lunastra,200,50,500,30 s,175,100,775,300,150,100,750,15 s
Chameleos,150,75,600,30 s,200,75,650,240,110,120,830,10 s
Teostra,200,50,500,30 s,175,100,775,280,150,100,750,15 s
Kirin,200,50,500,40 s,200,75,650,60,-,-,-,-
Lao-Shan Lung,-,-,-,-,-,-,-,-,-,-,-,-
Yamatsukami,-,-,-,-,-,-,-,-,-,-,-,-
Black Fatalis,400,50,700,30 s,400,50,700,120,400,50,700,10 s
Crimson Fatalis,400,50,700,60 s,400,50,700,120,400,50,700,10 s
White Fatalis,400,100,1000,30 s,400,50,700,120,400,50,700,10 s
Lynian
King Shakalaka,100,0,100,40 s,100,0,100,120,150,0,150,5 s
Neopteron
Queen Vespoid,200,0,200,40 s,100,0,100,240,100,0,100,5 s
