Desert

Area 1
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Wyvern Grass,竜草,Wyvern Grass,100 pts,High,4~6
,GldBladelessHndl,刃のない黄金の柄,Gold Bladeless Handle,200 pts,Medium,
,Felvine,マタタビ,Felvine,-,Low,
,Monoblos Rose,モノブローズ,Monoblos Rose,1000 pts,Low,
,Dragonrock+,上竜岩,Dragonrock+,3000 pts,Low,

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Wyvernshroom,竜茸,Wyvernshroom,200 pts,High,5~8
,Cephalos Wtrmeln,ガレオスイカ,Cephalos Watermelon,600 pts,Medium,
,Cephadrome Melon,ドスガレオスイカ,Cephadrome Melon,5000 pts,Low,

Bug Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Rathalos Fly,竜虫【雄】,Rathalos Fly,100 pts,Medium,8~10
,Rathian Fly,竜虫【雌】,Rathian Fly,300 pts,Medium,
,Cricket of Troy,ヘレンオケラー,Cricket of Troy,500 pts,Medium,
,GiantStagBeetle,オオオクワガタ,Grand Beetle,800 pts,Low,

Bug Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Mega Fishing Fly,釣りフィーバエ,Mega Fishing Fly,-,Medium,Infinite
,Rathalos Fly,竜虫【雄】,Rathalos Fly,100 pts,Medium,
,Rathian Fly,竜虫【雌】,Rathian Fly,300 pts,Medium,
,Cricket of Troy,ヘレンオケラー,Cricket of Troy,500 pts,Low,
,GiantStagBeetle,オオオクワガタ,Grand Beetle,800 pts,Low,

Fishing Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Med Wyvernfish,竜魚【中】,Med Wyvernfish,300  pts,Medium,Infinite
,Plump Goldenfish,オオゼキンギョ,Lg Goldenfish,600 pts,Medium,
,Knife Mackerel,キレアジ,Knife Mackerel,-,Medium,
,Sushifish,サシミウオ,Sushifish,-,Medium,
,Yokotuna,ヨコツナ,Bluefin Tuna,800 pts,Low,

Area 2
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Paintball,ペイントボール,Paintball,-,Medium,4~6
,Whetstone,砥石,Whetstone,-,Medium,
,Sonic Bomb,音爆弾,Sonic Bomb,-,Medium,
,Bright Mushroom,マブシイタケ,Bright Mushroom,800 pts,Low,
,Dragonrock+,上竜岩,Dragonrock+,3000 pts,Low,

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Nutrients,栄養剤,Nutrients,-,Medium,6~8
,Book of Combos 1,調合書①入門編,Book of Combos 1,-,Medium,
,Book of Combos 2,調合書②初級編,Book of Combos 2,-,Medium,
,Book of Combos 3,調合書③中級編,Book of Combos 3,-,Medium,
,Gunpowder,爆薬,Gunpowder,-,Medium,
,Dragonrock,竜岩,Dragonrock,2000 pts,Low,

Gathering Point 3,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Map,地図,Map,-,Medium,Infinite
,Paintball,ペイントボール,Paintball,-,Medium,
,Psychoserum,千里眼の薬,Psychoserum,-,Medium,
,Farcaster,モドリ玉,Farcaster,-,Medium,
,Dragonrock,竜岩,Dragonrock,2000 pts,Low,

Gathering Point 4,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Potion,回復薬,Potion,-,High,4~6
,Portable Spit,携帯肉焼きセット,Portable Spit,-,Medium,
,Old Pickaxe,ボロピッケル,Old Pickaxe,-,Medium,
,GldBladelessHndl,刃のない黄金の柄,Gold Bladeless Handle,200 pts,Low,
,Dragonrock,竜岩,Dragonrock,2000 pts,Low,

Area 3
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Mega Potion,回復薬グレート,Mega Potion,-,Medium,3~5
,Book of Combos 4,調合書④上級編,Book of Combos 4,-,Medium,
,Screamer,鳴き袋,Screamer,-,Medium,
,Book of Combos 5,調合書⑤達人編,Book of Combos 5,-,Low,
,Demondrug,鬼人薬,Demondrug,-,Low,
,Dragonrock+,上竜岩,Dragonrock+,3000 pts,Low,

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Pellet S Lv1,LV1 散弾,Pellet S Lv1,-,Medium,Infinite
,Pellet S Lv2,LV2 散弾,Pellet S Lv2,-,Medium,
,Sm Bone Husk,カラ骨【小】,Sm Bone Husk,-,Medium,
,Wyvern Fang,竜の牙,Wyvern Fang,-,Medium,
,Dragonrock+,上竜岩,Dragonrock+,3000 pts,Low,

Gathering Point 3,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Worm,釣りミミズ,Worm,-,High,Infinite
,Mega Fishing Fly,釣りフィーバエ,Mega Fishing Fly,-,Medium,
,Rathalos Fly,竜虫【雄】,Rathalos Fly,100 pts,Low,
,Dragonrock,竜岩,Dragonrock,2000 pts,Low,

Mining Point  1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Old Bugnet,ボロ虫あみ,Old Bugnet,-,Medium,4~6
,Lg Barrel-Bomb,大タル爆弾,Lg Barrel-Bomb,-,Medium,
,Wyvern Ore,竜鉱石,Wyvern Ore,100 pts,Medium,
,Pure Wyvern Ore,竜輝石,Pure Wyvern Ore,300 pts,Low,
,Dragonrock+,上竜岩,Dragonrock+,3000 pts,Low,

Area 4
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Sm Bone Husk,カラ骨【小】,Sm Bone Husk,-,Medium,15
,Wyvern Claw ,竜の爪,Wyvern Claw,-,Medium,
,Clust S Lv1,LV1 拡散弾,Clust S Lv1,-,Medium,
,Clust S Lv2,LV2 拡散弾,Clust S Lv2,-,Medium,
,Clust S Lv3,LV3 拡散弾,Clust S Lv3,-,Low,

Mining Point  1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Potion,回復薬,Potion,-,Medium,4~5
,Wyvern Ore,竜鉱石,Wyvern Ore,100 pts,Medium,
,Power Juice,強走薬,Power Juice,-,Medium,
,Demon Flute,鬼人笛,Demon Flute,-,Low,
,Armor Flute,硬化笛,Armor Flute,-,Low,
,Hndlelss Gld Bld,柄のない黄金の刃,Handless Gold Blade,300 pts,Low,

Mining Point  2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Sonic Bomb,音爆弾,Sonic Bomb,-,Medium,8~10
,Lg Barrel-Bomb,大タル爆弾,Lg Barrel-Bomb,-,Medium,
,Shock Trap,シビレ罠,Shock Trap,-,Medium,
,Wyvern Ore,竜鉱石,Wyvern Ore,100 pts,Medium,
,Pure Wyvern Ore,竜輝石,Pure Wyvern Ore,300 pts,Low,
,Hndlelss Gld Bld,柄のない黄金の刃,Handless Gold Blade,300 pts,Low,

Mining Point  3,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Wyvern Ore,竜鉱石,Wyvern Ore,100 pts,Medium,Infinite
,Pure Wyvern Ore,竜輝石,Pure Wyvern Ore,300 pts,Medium,
,Old Bugnet,ボロ虫あみ,Old Bugnet,-,Medium,
,Dragokurium,ドラコクルムアイ,Dragokurium,500 pts,Low,
,Hard Dragonrock,堅竜岩,Hard Dragonrock,4000 pts,Low,
,Sekumaeya Pearl,セクメーアパール,Sekumaeya Pearl,1000 pts,Low,

Area 5
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Wyvern Grass,竜草,Wyvern Grass,100 pts,Medium,8
,Wyvernshroom,竜茸,Wyvernshroom,200 pts,Medium,
,Cephalos Wtrmeln,ガレオスイカ,Cephalos Watermelon,600 pts,Medium,
,Monoblos Rose,モノブローズ,Monoblos Rose,1000 pts,Low,
,Hard Dragonrock,堅竜岩,Hard Dragonrock,4000 pts,Low,

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Sm Bone Husk,カラ骨【小】,Sm Bone Husk,-,Medium,Infinite
,Huskberry,カラの実,Huskberry,-,Medium,
,Bright Mushroom,マブシイタケ,Bright Mushroom,800 pts,Low,
,GldBladelessHndl,刃のない黄金の柄,Gold Bladeless Handle,200 pts,Low,
,Hard Dragonrock,堅竜岩,Hard Dragonrock,4000 pts,Low,

Gathering Point 3,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Dragonite (S),竜石【小】,Dragonite(S),100 pts,Medium,5~6
,Dragonite (M),竜石【中】,Dragonite(M),300 pts,Medium,
,Dragonite (L),竜石【大】,Dragonite(L),500 pts,Low,
,Hard Dragonrock,堅竜岩,Hard Dragonrock,4000 pts,Low,

Gathering Point 4,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Crag S Lv1,LV1 徹甲榴弾,Crag S Lv1,-,Medium,20
,Flaming S,火炎弾,Flaming S,-,Medium,
,Crag S Lv2,LV2 徹甲榴弾,Crag S Lv2,-,Medium,
,Thunder S,電撃弾,Thunder S,-,Medium,

Area 6
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Old Bugnet,ボロ虫あみ,Old Bugnet,-,High,2
,Dragonrock+,上竜岩,Dragonrock+,3000 pts,Medium,

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Power Coating,強撃ビン,PowerCoating,-,Medium,10
,Poison Coating,毒ビン,PoisonCoatng,-,Medium,
,ParalysisCoating,麻痺ビン,Para Coating,-,Medium,
,Rare Steak,生焼け肉,Rare Steak,-,Low,

Mining Point  1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Hot Drink,ホットドリンク,Hot Drink,-,Medium,2~6
,Wyvern Ore,竜鉱石,Wyvern Ore,100 pts,Medium,
,Old Bugnet,ボロ虫あみ,Old Bugnet,-,Low,
,Hard Dragonrock,堅竜岩,Hard Dragonrock,4000 pts,Low,
,Hndlelss Gld Bld,柄のない黄金の刃,Handless Gold Blade,300 pts,Low,

Bug Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Cool Drink,クーラードリンク,Cool Drink,-,Medium,4~5
,Rathalos Fly,竜虫【雄】,Rathalos Fly,100 pts,Medium,
,Rathian Fly,竜虫【雌】,Rathian Fly,300 pts,Medium,
,Armorskin,硬化薬,Armorskin,-,Low,
,Cricket of Troy,ヘレンオケラー,Cricket of Troy,500 pts,Low,

Fishing Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Cooler Fish,クーラー活魚,Cooler Fish,100 pts,Medium,Infinite
,Plump Goldenfish,オオゼキンギョ,Lg Goldenfish,600 pts,Medium,
,Knife Mackerel,キレアジ,Knife Mackerel,-,Medium,
,Pin Tuna,ハリマグロ,Pin Tuna,-,Low,

Area 7
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Normal S Lv2,LV2 通常弾,Normal S Lv2,-,Medium,Infinite
,Normal S Lv3,LV3 通常弾,Normal S Lv3,-,Medium,
,Para S Lv1,LV1 麻痺弾,Para S Lv1,-,Medium,

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Map,地図,Map,-,Medium,6
,Paintball,ペイントボール,Paintball,-,Medium,
,Psychoserum,千里眼の薬,Psychoserum,-,Medium,
,Farcaster,モドリ玉,Farcaster,-,Medium,
,Dragonrock,竜岩,Dragonrock,2000 pts,Low,

Gathering Point 3,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Potion,回復薬,Potion,-,Medium,6~8
,Raw Meat,生肉,Raw Meat,-,Medium,
,Portable Spit,携帯肉焼きセット,Portable Spit,-,Medium,
,Dragonrock,竜岩,Dragonrock,2000 pts,Low,

Bug Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Sonic Bomb,音爆弾,Sonic Bomb,-,Low,Infinite
,Rathalos Fly,竜虫【雄】,Rathalos Fly,100 pts,Low,
,Book of Combos 1,調合書①入門編,Book of Combos 1,-,Medium,
,Book of Combos 2,調合書②初級編,Book of Combos 2,-,Medium,
,Book of Combos 3,調合書③中級編,Book of Combos 3,-,Medium,
,Rathian Fly,竜虫【雌】,Rathian Fly,300 pts,Medium,
,GldBladelessHndl,刃のない黄金の柄,Gold Bladeless Handle,200 pts,Medium,

Fishing Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Pickaxe Fish,ピッケル活魚,Pickaxe Fish,100 pts,Medium,Infinite
,Sushifish,サシミウオ,Sushifish,-,Medium,
,Sleepyfish,眠魚,Sleepyfish,-,Medium,
,Pin Tuna,ハリマグロ,Pin Tuna,-,Low,

Area 8
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

