Jungle

Base Camp
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Lg Barrel-Bomb,大タル爆弾,Lg Barrel-Bomb,-,Medium,4
,Gunpowder,爆薬,Gunpowder,-,Medium
,Rathalos Fly,竜虫【雄】,Rathalos Fly,100 Pts,Medium
,Rathian Fly,竜虫【雌】,Rathian Fly,300 Pts,Low

Fishing Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Pickaxe Fish,ピッケル活魚,Pickaxe Fish,100 Pts,Medium,Infinite
,Bugnet Fish,虫あみ活魚,Bugnet Fish,100 Pts,Medium
,Pin Tuna,ハリマグロ,Pin Tuna,-,Medium
,Scatterfish,カクサンデメキン,Scatterfish,-,Medium
,Burst Arrowana,ハレツアロワナ,Burst Arrowana,-,Low

Area 1
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Whetstone,砥石,Whetstone,-,Medium,3~4
,Old Bugnet,ボロ虫あみ,Old Bugnet,-,Medium
,Flyn Crwn Frgmnt,ネコ王冠の破片,Felyne Crown Fragment,200 Pts,Medium
,Dragonrock,竜岩,Dragonrock,2000 Pts,Medium
,Dragonrock+,上竜岩,Dragonrock+,3000 Pts,Low

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Map,地図,Map,-,Medium,Infinite
,Paintball,ペイントボール,Paintball,-,Medium
,Psychoserum,千里眼の薬,Psychoserum,-,Medium
,Farcaster,モドリ玉,Farcaster,-,Medium
,Dragonrock,竜岩,Dragonrock,2000 Pts,Low

Gathering Point 3,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Portable Spit,携帯肉焼きセット,Portable Spit,-,Medium,5
,Book of Combos 1,調合書①入門編,Book of Combos 1,-,Medium
,Book of Combos 2,調合書②初級編,Book of Combos 2,-,Medium
,Book of Combos 3,調合書③中級編,Book of Combos 3,-,Medium
,Lg Barrel-Bomb,大タル爆弾,Lg Barrel-Bomb,-,Low

Mining Point  1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

