Old Forest

Area 1
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Large Barrel,大タル,Large Barrel,-,Medium,10
,Antidote,解毒薬,Antidote,-,Medium,
,Trap Tool,トラップツール,Trap Tool,-,Medium,
,Paintball,ペイントボール,Paintball,-,Medium,
,Wyvernshroom,竜茸,Wyvernshroom,200 pts,Medium,
,Map,地図,Map,-,Low,

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Book of Combos 3,調合書③中級編,Book of Combos 3,-,Medium,Infinite
,Book of Combos 4,調合書④上級編,Book of Combos 4,-,Medium,
,Book of Combos 5,調合書⑤達人編,Book of Combos 5,-,Medium,
,Psychoserum,千里眼の薬,Psychoserum,-,Low,
,Wyvern Grass,竜草,Wyvern Grass,100 pts,Low,

Gathering Point 3,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Potion,回復薬,Potion,-,Medium,7~8
,Mega Potion,回復薬グレート,Mega Potion,-,Medium,
,Wyvern Grass,竜草,Wyvern Grass,100 pts,Medium,
,TaillessCatStatu,尾のないネコ石像,Tailless Felyne Idol,400 pts,Low,

Gathering Point 4,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Shakalaka Ranka,チャチャブランカ,Shakalakashroom,500 pts,Medium,5~6
,Dragonite (M),竜石【中】,Dragonite(M),300 pts,Medium,
,Shakalaka Squash,チャチャカボチャ,ShakalakaPumpkin,800 pts,Medium,
,Old Pickaxe,ボロピッケル,Old Pickaxe,-,Medium,
,TaillessCatStatu,尾のないネコ石像,Tailless Felyne Idol,400 pts,Low,

Area 2
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Whetstone,砥石,Whetstone,-,Medium,10
,Potion,回復薬,Potion,-,Medium,
,Wyvern Ore,竜鉱石,Wyvern Ore,100 pts,Medium,
,Antidote,解毒薬,Antidote,-,Medium,
,Farcaster,モドリ玉,Farcaster,-,Low,
,TaillessCatStatu,尾のないネコ石像,Tailless Felyne Idol,400 pts,Low,

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Large Barrel,大タル,Large Barrel,-,High,4~5
,Wyvern Grass,竜草,Wyvern Grass,100 pts,Medium,
,TaillessCatStatu,尾のないネコ石像,Tailless Felyne Idol,400 pts,Low,

Mining Point  1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Pure Wyvern Ore,竜輝石,Pure Wyvern Ore,300 pts,Medium,6~8
,GrtForestCrystal,樹海結晶,Forest Crystal,600 pts,Medium,
,Mezeporter Topaz,メゼポルトパーズ,Mezeporu Topaz,800 pts,Medium,
,Dragonrock+,上竜岩,Dragonrock+,3000 pts,Low,

Bug Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Rathalos Fly,竜虫【雄】,Rathalos Fly,100 pts,Medium,Infinite
,Rathian Fly,竜虫【雌】,Rathian Fly,300 pts,Medium,
,Mega Fishing Fly,釣りフィーバエ,Mega Fishing Fly,-,Medium,
,Hornfly Prince,アゲハプリンス,PrinceButterfly,500 pts,Low,
,Hornfly Princess,アゲハプリンセス,PrincessButtrfly,1000 pts,Low,

Fishing Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Med Wyvernfish,竜魚【中】,Med Wyvernfish,300 pts,Medium,Infinite
,Large Wyvernfish,竜魚【大】,Lrg Wyvernfish,500 pts,Medium,
,Small Wyvernfish,竜魚【小】,Small Wyvernfish,100 pts,Medium,
,Pharr Yellowtail,ファーブリ,Furry Yellow-tail,600 pts,Medium,
,Brilliant Aji,アジソン,Song Mackerel,1000 pts,Low,

Area 3
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Dragonite (S),竜石【小】,Dragonite(S),100 pts,Medium,3~5
,Dragonite (M),竜石【中】,Dragonite(M),300 pts,Medium,
,Old Pickaxe,ボロピッケル,Old Pickaxe,-,Medium,
,Old Bugnet,ボロ虫あみ,Old Bugnet,-,Medium,
,TaillessCatStatu,尾のないネコ石像,Tailless Felyne Idol,400 pts,Low,

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Hard Dragonrock,堅竜岩,Hard Dragonrock,4000 pts,High,1
,Century Walnut,百年くるみ,Century Walnut,8000 pts,Medium,
,ThsandYearForest,千年樹の種,Millenium Tree Seed,12000 pts,Low,

Mining Point  1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Lg Barrel-Bomb,大タル爆弾,Lg Barrel-Bomb,-,Medium,10
,Sm Barrel-Bomb,小タル爆弾,Sm Barrel-Bomb,-,Medium,
,Whetstone,砥石,Whetstone,-,Medium,
,Gunpowder,爆薬,Gunpowder,-,Medium,

Bug Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Rathalos Fly,竜虫【雄】,Rathalos Fly,100 pts,High,6~8
,Rathian Fly,竜虫【雌】,Rathian Fly,300 pts,Medium,
,Hornfly Prince,アゲハプリンス,PrinceButterfly,500 pts,Low,
,Farcaster,モドリ玉,Farcaster,-,Low,

Area 4
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Gunpowder,爆薬,Gunpowder,-,Medium,4~5
,Sm Barrel-Bomb,小タル爆弾,Sm Barrel-Bomb,-,Medium,
,Wyvernshroom,竜茸,Wyvernshroom,200 pts,Medium,
,Lg Barrel-Bomb,大タル爆弾,Lg Barrel-Bomb,-,Medium,

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Crag S Lv1,LV1 徹甲榴弾,Crag S Lv1,-,Medium,20
,Sleep S Lv1,LV1 睡眠弾,Sleep S Lv1,-,Medium,
,Crag S Lv2,LV2 徹甲榴弾,Crag S Lv2,-,Medium,
,Crag S Lv3,LV3 徹甲榴弾,Crag S Lv3,-,Medium,

Bug Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Lg Barrel-Bomb,大タル爆弾,Lg Barrel-Bomb,-,Medium,3~5
,Sm Barrel-Bomb,小タル爆弾,Sm Barrel-Bomb,-,Medium,
,Rathalos Fly,竜虫【雄】,Rathalos Fly,100 pts,Medium,

Bug Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Rathian Fly,竜虫【雌】,Rathian Fly,300 pts,High,4~6
,Hornfly Prince,アゲハプリンス,PrinceButterfly,500 pts,Medium,
,Hornfly Princess,アゲハプリンセス,PrincessButtrfly,1000 pts,Low,

Fishing Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Scatterfish,カクサンデメキン,Scatterfish,-,Medium,Infinite
,Pickaxe Fish,ピッケル活魚,Pickaxe Fish,100 pts,Medium,
,Bugnet Fish,虫あみ活魚,Bugnet Fish,100 pts,Medium,
,Small Wyvernfish,竜魚【小】,Small Wyvernfish,100 pts,Medium,
,Brilliant Aji,アジソン,Song Mackerel,1000 pts,Low,

Area 5
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Net,ネット,Net,-,High,Infinite
,Mega Fishing Fly,釣りフィーバエ,Mega Fishing Fly,-,Medium,
,Farcaster,モドリ玉,Farcaster,-,Low,

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Large Barrel,大タル,Large Barrel,-,Medium,6~8
,Sm Barrel-Bomb,小タル爆弾,Sm Barrel-Bomb,-,Medium,
,Wyvernshroom,竜茸,Wyvernshroom,200 pts,Medium,

Gathering Point 3,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Dragonite (M),竜石【中】,Dragonite(M),300 pts,Medium,5~6
,Shakalaka Ranka,チャチャブランカ,Shakalakashroom,500 pts,Medium,
,Shakalaka Squash,チャチャカボチャ,ShakalakaPumpkin,800 pts,Medium,
,BrokenStoneTail,折れた石の尾,Detached Stone Tail,300 pts,Low,

Bug Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Rathalos Fly,竜虫【雄】,Rathalos Fly,100 pts,Medium,10
,Old Pickaxe,ボロピッケル,Old Pickaxe,-,Medium,
,Rathian Fly,竜虫【雌】,Rathian Fly,300 pts,Medium,
,Hornfly Prince,アゲハプリンス,PrinceButterfly,500 pts,Low,

Area 6
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Power Coating,強撃ビン,PowerCoating,-,Medium,Infinite
,Poison Coating,毒ビン,PoisonCoatng,-,Medium,
,ParalysisCoating,麻痺ビン,Para Coating,-,Medium,
,Wyvern Grass,竜草,Wyvern Grass,100 pts,Low,

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Pellet S Lv1,LV1 散弾,Pellet S Lv1,-,Medium,20
,Pellet S Lv2,LV2 散弾,Pellet S Lv2,-,Medium,
,Pellet S Lv3,LV3 散弾,Pellet S Lv3,-,Medium,
,Dragonrock,竜岩,Dragonrock,2000 pts,Low,

Gathering Point 3,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Dragonite (M),竜石【中】,Dragonite(M),300 pts,Medium,4~5
,Dragonite (L),竜石【大】,Dragonite(L),500 pts,Medium,
,ShimmeringShroom,ギラリエリンギ,Pearlshrooms,800 pts,Medium,
,BrokenStoneTail,折れた石の尾,Detached Stone Tail,300 pts,Low,
,Dragonrock,竜岩,Dragonrock,2000 pts,Low,

Gathering Point 4,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Demondrug,鬼人薬,Demondrug,-,Medium,3~5
,Armorskin,硬化薬,Armorskin,-,Medium,
,Flash Bomb,閃光玉,Flash Bomb,-,Medium,
,Psychoserum,千里眼の薬,Psychoserum,-,Medium,
,Trap Tool,トラップツール,Trap Tool,-,Medium,
,Boomerang,ブーメラン,Boomerang,-,Medium,
,Shakalaka Ranka,チャチャブランカ,Shakalakashroom,500 pts,Low,

Area 7
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Dragonite (S),竜石【小】,Dragonite(S),100 pts,Medium,5~7
,Trap Tool,トラップツール,Trap Tool,-,Medium,
,Poison Smoke Bmb,毒けむり玉,Poison Smoke Bomb,-,Medium,
,Dragonite (M),竜石【中】,Dragonite(M),300 pts,Medium,
,Dragonrock,竜岩,Dragonrock,2000 pts,Low,

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Gunpowder,爆薬,Gunpowder,-,Medium,4~6
,Wyvernshroom,竜茸,Wyvernshroom,200 pts,Medium,
,ShimmeringShroom,ギラリエリンギ,Pearlshrooms,800 pts,Medium,
,Trap Tool,トラップツール,Trap Tool,-,Medium,

Gathering Point 3,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Pierce S Lv1,LV1 貫通弾,Pierce S Lv1,-,Medium,Infinite
,Pierce S Lv3,LV3 貫通弾,Pierce S Lv3,-,Medium,
,Para S Lv1,LV1 麻痺弾,Para S Lv1,-,Medium,
,Pierce S Lv2,LV2 貫通弾,Pierce S Lv2,-,Medium,

Mining Point  1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Wyvern Ore,竜鉱石,Wyvern Ore,100 pts,Medium,Infinite
,Pure Wyvern Ore,竜輝石,Pure Wyvern Ore,300 pts,Medium,
,GrtForestCrystal,樹海結晶,Forest Crystal,600 pts,Medium,
,BrokenStoneTail,折れた石の尾,Detached Stone Tail,300 pts,Low,

Area 8
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Dragonrock+,上竜岩,Dragonrock+,3000 pts,Medium,2
,Hard Dragonrock,堅竜岩,Hard Dragonrock,4000 pts,Medium,
,Century Walnut,百年くるみ,Century Walnut,8000 pts,Medium,
,ThsandYearForest,千年樹の種,Millenium Tree Seed,12000 pts,Low,

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Bugnet,虫あみ,Bugnet,-,Medium,1~2
,Lg Barrel-Bomb,大タル爆弾,Lg Barrel-Bomb,-,Medium,
,Power Juice,強走薬,Power Juice,-,Medium,
,BrokenStoneTail,折れた石の尾,Detached Stone Tail,300 pts,Medium,

Gathering Point 3,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Dragonite (S),竜石【小】,Dragonite(S),100 pts,Medium,6~8
,Dragonite (M),竜石【中】,Dragonite(M),300p ts,Medium,
,Dragonite (L),竜石【大】,Dragonite(L),500 pts,Medium,
,GrtForestCrystal,樹海結晶,Forest Crystal,600 pts,Low,
