Swamp

Base Camp
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Amount of Times

,Small Wyvernfish,竜魚【小】,Small Wyvernfish,100 pts,Medium,Infinite
,Scatterfish,カクサンデメキン,Scatterfish,-,Medium,
,Pickaxe Fish,ピッケル活魚,Pickaxe Fish,100 pts,Medium,
,Bugnet Fish,虫あみ活魚,Bugnet Fish,100 pts,Medium,
,Med Wyvernfish,竜魚【中】,Med Wyvernfish,300 pts,Low,
,Hideyoshi Ambrjk,カンパチ秀吉,Great Amberjack,600 pts,Low,

Area 1
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Amount of Times

,Book of Combos 3,調合書③中級編,Book of Combos 3,-,Medium,Infinite
,Book of Combos 4,調合書④上級編,Book of Combos 4,-,Medium,
,Mega Potion,回復薬グレート,Mega Potion,-,Medium,
,Book of Combos 5,調合書⑤達人編,Book of Combos 5,-,Medium,

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Amount of Times

,Large Barrel,大タル,Large Barrel,-,Medium,7~10
,Sm Barrel-Bomb,小タル爆弾,Sm Barrel-Bomb,-,Medium,
,Deodorant,消臭玉,Deodorant,-,Medium,
,Trap Tool,トラップツール,Trap Tool,-,Low,
,Hot Drink,ホットドリンク,Hot Drink,-,Low,

Gathering Point 3,Unite Names,Items in Kanji,Patch Names,Points,Chances,Amount of Times

,Mystery Bone,なぞの骨,Mystery Bone,-,Medium,3
,Stone,石ころ,Stone,-,Medium,
,Dragonrock,竜岩,Dragonrock,2000 pts,Low,

Bug Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Amount of Times

,Rathalos Fly,竜虫【雄】,Rathalos Fly,100 pts,High,8
,Rathian Fly,竜虫【雌】,Rathian Fly,300 pts,Medium,
,Cutie Crawler,ワームキューレ,Cutie Crawler,500 pts,Low,

Area 2
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Amount of Times

,Paintball,ペイントボール,Paintball,-,Medium,10
,Herb,薬草,Herb,-,Medium,
,Wyvern Grass,竜草,Wyvern Grass,100 pts,Medium,
,Old Vase Bottom,古のツボ底,Old Vase Bottom,300 pts,Low,
,Dragonrock,竜岩,Dragonrock,2000 pts,Low,

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Amount of Times

,Wyvernshroom,竜茸,Wyvernshroom,200 pts,Medium,5~7
