Volcano

Area 1
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Large Barrel,大タル,Large Barrel,-,Medium,Infinite
,Map,地図,Map,-,Medium,
,Paintball,ペイントボール,Paintball,-,Medium,
,Psychoserum,千里眼の薬,Psychoserum,-,Medium,
,Farcaster,モドリ玉,Farcaster,-,Medium,
,Wyvern Grass,竜草,Wyvern Grass,100 pts,Low,

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Mega Potion,回復薬グレート,Mega Potion,-,Medium,8
,Sonic Bomb,音爆弾,Sonic Bomb,-,Medium,
,Gunpowder,爆薬,Gunpowder,-,Medium,
,Wyvern Grass,竜草,Wyvern Grass,100 pts,Low,
,Basarios Peach,バサルモモ,Basarios Peach,1000 pts,Low,

Gathering Point 3,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Whetstone,砥石,Whetstone,-,Medium,3~4
,BBQ Spit,肉焼きセット,BBQ Spit,-,Medium,
,Old Pickaxe,ボロピッケル,Old Pickaxe,-,Medium,
,Gravibiscus,グラビスカス,Gravibiscus,500 pts,Low,
,Dragonrock,竜岩,Dragonrock,2000 pts,Low,

Mining Point  1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Wyvern Ore,竜鉱石,Wyvern Ore,100 pts,Medium,4~5
,Dragonrock,竜岩,Dragonrock,2000 pts,Medium,
,Pure Wyvern Ore,竜輝石,Pure Wyvern Ore,300 pts,Medium,
,Old Book Scrap,古書の切れ端,Old Book Scrap,300 pts,Low,

Area 2
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Cool Drink,クーラードリンク,Cool Drink,-,Medium,4~6
,Antidote,解毒薬,Antidote,-,Medium,
,Old Book Scrap,古書の切れ端,Old Book Scrap,300 pts,Medium,
,Basarios Peach,バサルモモ,Basarios Peach,1000 pts,Low,

Mining Point  1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Wyvern Ore,竜鉱石,Wyvern Ore,100 pts,Medium,Infinite
,Mega Armorskin,硬化薬グレート,Mega Armorskin,-,Medium,
,Pure Wyvern Ore,竜輝石,Pure Wyvern Ore,300 pts,Medium,
,Sleeping Thr Knf,眠り投げナイフ,Sleeping Thrw Knf,-,Low,
,Dragonrock+,上竜岩,Dragonrock+,3000 pts,Low,
,Armortalon,守りの爪,Armortalon,-,Low,

Mining Point  2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Pure Wyvern Ore,竜輝石,Pure Wyvern Ore,300 pts,High,6
,Power Juice,強走薬,Power Juice,-,Medium,
,Dragonrock+,上竜岩,Dragonrock+,3000 pts,Medium,
,Mega Demondrug,鬼人薬グレート,Mega Demondrug,-,Low,
,Powertalon,力の爪,Powertalon,-,Low,

Bug Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Rathalos Fly,竜虫【雄】,Rathalos Fly,100 pts,Medium,Infinite
,Gunpowder,爆薬,Gunpowder,-,Medium,
,Rathian Fly,竜虫【雌】,Rathian Fly,300 pts,Medium,
,Killer Venus,キラービーナス,Killer Venus,500 pts,Low,

Area 3
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Dragonrock+,上竜岩,Dragonrock+,3000 pts,High,1
,Hard Dragonrock,堅竜岩,Hard Dragonrock,4000 pts,Medium,
,Graviscus Bulb,グラビスカス球根,Graviscus Bulb,8000 pts,Low,

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Old Pickaxe,ボロピッケル,Old Pickaxe,-,High,5
,Wyvernshroom,竜茸,Wyvernshroom,200 pts,Medium,
,Beauty Shroom,ウツクシメジ,Beauty Shroom,800 pts,Medium,
,Old Book Scrap,古書の切れ端,Old Book Scrap,300 pts,Low,

Gathering Point 3,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Power Coating,強撃ビン,PowerCoating,-,Medium,Infinite
,Sleep Coating,睡眠ビン,SleepCoating,-,Medium,
,Poison Coating,毒ビン,PoisonCoatng,-,Medium,
,ParalysisCoating,麻痺ビン,Para Coating,-,Medium,

Mining Point  1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Lg Barrel-Bomb,大タル爆弾,Lg Barrel-Bomb,-,High,4~5
,Pitfall Trap,落とし穴,Pitfall Trap,-,Medium,
,Torn Old Book,破かれた古書,Torn Old Book,400 pts,Low,

Area 4
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,BBQ Spit,肉焼きセット,BBQ Spit,-,Medium,1~2
,Dragonrock,竜岩,Dragonrock,2000 pts,Medium,
,Gourmet BBQ Spit,高級肉焼きセット,Gourmet BBQ Spit,-,Low,
,Old Book Scrap,古書の切れ端,Old Book Scrap,300 pts,Low,

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Mega Potion,回復薬グレート,Mega Potion,-,Medium,8
,Old Bugnet,ボロ虫あみ,Old Bugnet,-,Medium,
,Whetstone,砥石,Whetstone,-,Medium,
,Gunpowder,爆薬,Gunpowder,-,Medium,
,Gravibiscus,グラビスカス,Gravibiscus,500 pts,Low,

Mining Point  1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Sonic Bomb,音爆弾,Sonic Bomb,-,Medium,4
,Cool Drink,クーラードリンク,Cool Drink,-,Medium,
,Wyvern Ore,竜鉱石,Wyvern Ore,100 pts,Medium,
,Dragonrock,竜岩,Dragonrock,2000 pts,Low,

Mining Point  2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Flash Bomb,閃光玉,Flash Bomb,-,Medium,8
,Gunpowder,爆薬,Gunpowder,-,Medium,
,Lg Barrel-Bomb,大タル爆弾,Lg Barrel-Bomb,-,Medium,
,Pitfall Trap,落とし穴,Pitfall Trap,-,Medium,

Area 5
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Cool Drink,クーラードリンク,Cool Drink,-,Medium,8
,Antidote,解毒薬,Antidote,-,Medium,
,Old Bugnet,ボロ虫あみ,Old Bugnet,-,Medium,
,Wyvern Grass,竜草,Wyvern Grass,100 pts,Low,
,Gravibiscus,グラビスカス,Gravibiscus,500 pts,Low,

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Pierce S Lv1,LV1 貫通弾,Pierce S Lv1,-,Medium,Infinite
,Pierce S Lv2,LV2 貫通弾,Pierce S Lv2,-,Medium,
,Water S,水冷弾,Water S,-,Medium,
,Pierce S Lv3,LV3 貫通弾,Pierce S Lv3,-,Medium,

Mining Point  1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Dragonrock+,上竜岩,Dragonrock+,3000 pts,Medium,3
,Wyvern Ore,竜鉱石,Wyvern Ore,100 pts,Medium,
,Hard Dragonrock,堅竜岩,Hard Dragonrock,4000 pts,Medium,

Mining Point  2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Lg Barrel-Bomb,大タル爆弾,Lg Barrel-Bomb,-,Medium,Infinite
,Pure Wyvern Ore,竜輝石,Pure Wyvern Ore,300 pts,Medium,
,Wyvern Ore,竜鉱石,Wyvern Ore,100 pts,Medium,
,Dondorumin,ドンドルマリン,Dondorumin,500 pts,Low,
,Torn Old Book,破かれた古書,Torn Old Book,400 pts,Low,

Area 6
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Crag S Lv1,LV1 徹甲榴弾,Crag S Lv1,-,Medium,Infinite
,Crag S Lv2,LV2 徹甲榴弾,Crag S Lv2,-,Medium,
,Sleep S Lv1,LV1 睡眠弾,Sleep S Lv1,-,Medium,

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Lg Barrel-Bomb,大タル爆弾,Lg Barrel-Bomb,-,Medium,5~7
,Old Pickaxe,ボロピッケル,Old Pickaxe,-,Medium,
,Wyvernshroom,竜茸,Wyvernshroom,200 pts,Medium,
,Beauty Shroom,ウツクシメジ,Beauty Shroom,800 pts,Low,
,Torn Old Book,破かれた古書,Torn Old Book,400 pts,Low,

Mining Point  1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Pure Wyvern Ore,竜輝石,Pure Wyvern Ore,300 pts,Medium,Infinite
,Wyvern Ore,竜鉱石,Wyvern Ore,100 pts,Medium,
,Dondorumin,ドンドルマリン,Dondorumin,500 pts,Medium,
,Lateobrium,ラティオベリル,Lateobrium,800 pts,Low,

Mining Point  2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Hard Dragonrock,堅竜岩,Hard Dragonrock,4000 pts,High,2
,Graviscus Bulb,グラビスカス球根,Graviscus Bulb,8000 pts,Medium,
,Lateobrium,ラティオベリル,Lateobrium,800 pts,Low,

Area 7
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Dragonite (M),竜石【中】,Dragonite(M),300 pts,Medium,4~6
,Torn Old Book,破かれた古書,Torn Old Book,400 pts,Medium,
,Lifepowder,生命の粉塵,Lifepowder,-,Low,
,Basarios Peach,バサルモモ,Basarios Peach,100 pts,Low,
,Max Potion,秘薬,Max Potion,-,Low,

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Normal S Lv2,LV2 通常弾,Normal S Lv2,-,Medium,Infinite
,Pellet S Lv1,LV1 散弾,Pellet S Lv1,-,Medium,
,Pellet S Lv2,LV2 散弾,Pellet S Lv2,-,Medium,

Gathering Point 3,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Sleeping Thr Knf,眠り投げナイフ,Sleeping Thrw Knf,-,Medium,4~6
,Old Pickaxe,ボロピッケル,Old Pickaxe,-,Medium,
,Beauty Shroom,ウツクシメジ,Beauty Shroom,800 pts,Medium,
,Boomerang,ブーメラン,Boomerang,-,Medium,

Gathering Point 4,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Wyvern Grass,竜草,Wyvern Grass,100 pts,High,4~6
,Gravibiscus,グラビスカス,Gravibiscus,500 pts,Medium,
,Graviscus Bulb,グラビスカス球根,Graviscus Bulb,8000 pts,Low,

Area 8
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Sonic Bomb,音爆弾,Sonic Bomb,-,Medium,3~5
,Lg Barrel-Bomb,大タル爆弾,Lg Barrel-Bomb,-,Medium,
,Torn Old Book,破かれた古書,Torn Old Book,400 pts,Medium,
,Farcaster,モドリ玉,Farcaster,-,Low,
,Basarios Peach,バサルモモ,Basarios Peach,100 pts,Low,

Mining Point  1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Wyvern Ore,竜鉱石,Wyvern Ore,100 pts,High,Infinite
,Hard Dragonrock,堅竜岩,Hard Dragonrock,4000 pts,Medium,

Mining Point  2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Pure Wyvern Ore,竜輝石,Pure Wyvern Ore,300 pts,High,8~10
,Dondorumin,ドンドルマリン,Dondorumin,500 pts,Medium,
,Lateobrium,ラティオベリル,Lateobrium,800 pts,Low,

Mining Point  3,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Hard Dragonrock,堅竜岩,Hard Dragonrock,4000 pts,High,1
,Teostra Meteor,メテオテスカトル,Teostra Meteor,12000 pts,Medium,

Area 9
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Potion,回復薬,Potion,-,Medium,8~10
,Mega Potion,回復薬グレート,Mega Potion,-,Medium,
,Cool Drink,クーラードリンク,Cool Drink,-,Medium,
,Psychoserum,千里眼の薬,Psychoserum,-,Medium,
,Wyvern Grass,竜草,Wyvern Grass,100 pts,Medium,

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Wyvern Grass,竜草,Wyvern Grass,100 pts,High,4~6
,Old Pickaxe,ボロピッケル,Old Pickaxe,-,Medium,
,Farcaster,モドリ玉,Farcaster,-,Low,
,Graviscus Bulb,グラビスカス球根,Graviscus Bulb,8000 pts,Low,

Gathering Point 3,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Wyvern Ore,竜鉱石,Wyvern Ore,100 pts,Medium,6~8
,Old Bugnet,ボロ虫あみ,Old Bugnet,-,Medium,
,Wyvernshroom,竜茸,Wyvernshroom,200 pts,Medium,
,Hard Dragonrock,堅竜岩,Hard Dragonrock,4000 pts,Low,

Mining Point  1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

