Wyvern Egg,Potion,Mega Potion,,飛竜の卵,回復薬,回復薬グレート,,Wyvern Egg,Potion,Mega Potion
Insect Husk,Special Mushroom,Special Mushroom,,虫の死骸,特産キノコ,特産キノコ,,Insect Husk,Special Mushroom,Special Mushroom
Garbage,Special Mushroom,Special Mushroom,,もえないゴミ,特産キノコ,特産キノコ,,Garbage,Special Mushroom,Special Mushroom
Burnt Fish,Special Mushroom,Special Mushroom,,コゲ魚,特産キノコ,特産キノコ,,Burnt Fish,Special Mushroom,Special Mushroom
Burnt Meat,Special Mushroom,Special Mushroom,,コゲ肉,特産キノコ,特産キノコ,,Burnt Meat,Special Mushroom,Special Mushroom
Scatternut,Special Mushroom,Bone,,はじけクルミ,特産キノコ,棒状の骨,,Scatternut,Special Mushroom,Bone
Disk Stone,Special Mushroom,Bone,,円盤石,特産キノコ,棒状の骨,,Disk Stone,Special Mushroom,Bone
Bounce Bomb,Bounce Bomb+,Bounce Bomb+,,打上げタル爆弾,打上げタル爆弾Ｇ,打上げタル爆弾Ｇ,,Bounce Bomb,Bounce Bomb+,Bounce Bomb+
Gunpowder,Lg Bone Husk ,Sm Bone Husk,,爆薬,カラ骨【大】 ,カラ骨【小】,,Gunpowder,Lg Bone Husk,Sm Bone Husk
Rumblefish,Unknown Skull,Bone,,はじけイワシ,なぞの頭骨,棒状の骨,,Rumblefish,Unknown Skull,Bone
Toadstool,Sm Bone Husk,Unknown Skull,,毒テングダケ,カラ骨【小】,なぞの頭骨,,Toadstool,Sm Bone Husk,Unknown Skull
Dragon Toadstool,Sm Monster Bone,Unknown Skull,,マンドラゴラ,竜骨【小】,なぞの頭骨,,Dragon Toadstool,Sm Monster Bone,Unknown Skull
Carpenterbug,Sharp Claw,Anteka Pelt,,セッチャクロアリ,とがった爪,ガウシカの毛皮,,Carpenterbug,Sharp Claw,Anteka Pelt
Earth Crystal,Sm Monster Bone,Giant Bone,,大地の結晶,竜骨【小】,大きな骨,,Earth Crystal,Sm Monster Bone,Giant Bone
Spicy Mushroom,Lg Bone Husk ,Sm Bone Husk,,特産キノコキムチ,カラ骨【大】 ,カラ骨【小】,,Spicy Mushroom,Lg Bone Husk,Sm Bone Husk
ShakalakaTreasre,Bullfango Pelt,Giaprey Hide,,奇面族のお宝,ファンゴの毛皮,ギアノスの皮,,ShakalakaTreasre,Bullfango Pelt,Giaprey Hide
Bomb Arrowana,Sharp Claw,Bone,,バクレツアロワナ,とがった爪,棒状の骨,,Bomb Arrowana,Sharp Claw,Bone
Suiko Jewel,Velociprey Scale,Kelbi Horn,,水光原珠,ランポスの鱗,ケルビの角,,Suiko Jewel,Velociprey Scale,Kelbi Horn
Power Seed,Sharp Claw,Lg Bone Husk ,,怪力の種,とがった爪,カラ骨【大】 ,,Power Seed,Sharp Claw,Lg Bone Husk
Burst Arrowana,Lg Bone Husk ,Sm Monster Bone,,ハレツアロワナ,カラ骨【大】 ,竜骨【小】,,Burst Arrowana,Lg Bone Husk,Sm Monster Bone
Fire Herb,Unknown Skull,Mystery Bone,,火薬草,なぞの頭骨,なぞの骨,,Fire Herb,Unknown Skull,Mystery Bone
Ruststone,Remobra Skin,Striped Skin,,さびた塊,蛇竜の皮,縞模様の皮,,Ruststone,Remobra Skin,Striped Skin
Large Ruststone,Giadrome Hide,Iodrome Hide,,さびた大きな塊,ドスギアノスの皮,ドスイーオスの皮,,Lg Ruststone,Giadrome Hide,Iodrome Hide
Needleberry,Mystery Bone,Bone,,ハリの実,なぞの骨,棒状の骨,,Needleberry,Mystery Bone,Bone
Rathalos Tail,Ceanataur Shell,Ioprey Scale,,火竜の尻尾,鎌蟹の甲殻,イーオスの鱗,,Rathalos Tail,Ceanataur Shell,Ioprey Scale
Velocidrome Claw,Genprey Hide,Vespoid Wing,,ドスランポスの爪,ゲネポスの皮,ランゴスタの羽,,Velocidrome Claw,Genprey Hide,Vespoid Wing
Rathalos Webbing,Pnk Rathian Scl,Tigrex Shell,,火竜の翼膜,桜火竜の鱗,轟竜の甲殻,,Rathalos Webbing,Pnk Rathian Scl,Tigrex Shell
Chameleos Hide,Monster Bone+,Eldr Dragon Bone,,霞龍の皮,上竜骨,古龍骨,,Chameleos Hide,Monster Bone+,Elder Drgn Bone
Chameleos Horn,Fire Drgn Webbng,Kirin Hide,,霞龍の角,炎龍の翼膜,キリンの皮,,Chameleos Horn,Fire Drgn Wbng,Kirin Hide
Ceanataur Claw,Tigrex Scale,Garuga Shell,,鎌蟹の爪,轟竜の鱗,黒狼鳥の甲殻,,Ceanataur Claw,Tigrex Scale,Garuga Shell
Garuga Ear,Kut-Ku Ear,Kut-Ku Webbing,,黒狼鳥の耳,怪鳥の耳,怪鳥の翼膜,,Garuga Ear,Kut-Ku Ear,Kut-Ku Webbing
Daora Horn,Daora Shell,DaoraDragonScale,,鋼龍の角,鋼龍の甲殻,鋼の龍鱗,,Daora Horn,Daora Shell,DaoraDragonScale
Tigrex Tail,Plesioth Fin,Blangonga Whiskr,,轟竜の尻尾,水竜のヒレ,雪獅子の髭,,Tigrex Tail,Plesioth Fin,Blangonga Whiskr
Basarios Wing,Wyvern Skull Shl,Iodrome Hide,,岩竜の翼,竜頭殻,ドスイーオスの皮,,Basarios Wing,Wyvern Skull Shl,Iodrome Hide
Gravios Skl Shl,Rathian Shell,Rathian Spike,,鎧竜の頭殻,雌火竜の甲殻,雌火竜の棘,,Gravios Skl Shl,Rathian Shell,Rathian Spike
Azur Rthlos Wing,Monoblos Spine,FireWyvrn Marrow,,蒼火竜の翼,一角竜の背甲,火竜の骨髄,,Azur Rathlos Wng,Monoblos Spine,FireWyvrn Marrow
Felyne Fur Ruby,Bullfango Pelt,Kut-Ku Scale,,ネコ毛の紅玉,ファンゴの毛皮,怪鳥の鱗,,Felyne Fur Ruby,Bullfango Pelt,Kut-Ku Scale
Ancient Fish,Lg Monster Bone,Thunderbug Juice,,古代魚,竜骨【大】,雷光エキス,,Ancient Fish,Lg Monster Bone,Thunderbug Juice
ShakaInheritance,Flame Sac,Poison Sac,,奇面王の遺産,火炎袋,毒袋,,ShakaInheritance,Flame Sac,Poison Sac
Akantor Tail,Azure LaoS Shell,FireWyvrn BrnStm,,覇竜の尻尾,老山龍の蒼甲殻,火竜の延髄,,Akantor Tail,Azure LaoS Shell,FireWyvrn BrnStm
Azre Rthlos Scl+,Toxin Sac,Blk Gravios Shl,,蒼火竜の上鱗,猛毒袋,黒鎧竜の甲殻,,Azr Rathlos Scl+,Toxin Sac,Blk Gravios Shl
Kut-Ku Carapace,Genprey Hide+,HornetaurInnrWng,,怪鳥の堅殻,ゲネポスの上皮,カンタロスの薄羽,,Kut-Ku Carapace,Genprey Hide+,HornetaurInnrWng
Velocidrome Clw+,Rathian Scale,Rathalos Scale,,ランポスの尖爪,雌火竜の鱗,火竜の鱗,,Velocidrome Clw+,Rathian Scale,Rathalos Scale
Blk Blos Thracic,Stout Bone,Congalala Pelt+,,黒角竜の堅甲,堅牢な骨,桃毛獣の剛毛,,Blk Blos Thracic,Stout Bone,Congalala Pelt+
Splendid Beak,Bulldrome Hide+,Giaprey Hide+,,立派なクチバシ,大猪の硬い皮,ギアノスの上皮,,Splendid Beak,Bulldrome Hide+,Giaprey Hide+
Gold Rajang Pelt,Inferno Sac,Hrd Monster Bone,,黄金の毛,爆炎袋,堅竜骨,,Gold Rajang Pelt,Inferno Sac,Hrd Monster Bone
Hypno Bezoar,Sleep Sac,Rathian Spike,,眠鳥の胃石,睡眠袋,雌火竜の棘,,HypncGizzardStne,Sleep Sac,Rathian Spike
HvyAzurRthlsShl,HvyBlueKut-KuShl,Str Kut-Ku Wing,,蒼火竜の重殻,青怪鳥の重殻,怪鳥の剛翼,,AzrRathlosHvyCpc,BlueKut-KuHvyCpc,Kut-Ku Hrd Wbbng
